sno,project_id,ro_pd_name,project_name,project_number,land_required_ha,land_available_ha,land_to_be_acquired_ha,url
973,59847,(RO Dehradun),"CONSULTANCY SERVICES FOR CARRYING OUT FEASIBILITY STUDY, PREPARATION OF DETAILED PROJECT REPORT AND PROVIDING PRE-CONSTRUCTION SERVICES IN RESPECT OF UP-GRADATION TO TWO LANES WITH PAVED SHOULDER NH 09 NH CONFIGURATION OF CORRIDORS UNDER BHARAT MALA PROJECTS, FROM KM 72.00 TO KM 107.600 (BALUVAKOT - TAWAGHAT) , NH CONNECTIVITY TO BRT PLACES OF THE COUNTRY AND ADB FUNDED PROJECTS IN THE STATE OF UTTARAKHAND.",,80,0,80,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59847
974,59853,(RO Gandhinagar),Acquisition of Land in respect of National Highway No. 68 on the stretch from 0/0 to 53/100 (package -I) and 124/200 to 152/220 (package III) in the state of Gujarat,,310,126,184,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59853
975,59854,RO Shimla,Up gradation to National Highway Intermediate lane (NHIL) specification with hard shoulder of km 75.00 to 151.00 Kaza NH-505 in the state of Himachal Pradesh.,,40.5554,0,40.5554,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59854
976,59855,RO Shimla,Up gradation to National Highway Intermediate lane (NHIL) specification with hard shoulder of km 0.00 to 75.00 Kaza NH-505 in the state of Himachal Pradesh.,,69.237,24.8002,44.4368,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59855
977,59856,CE-NH (PWD) Uttar Pradesh,"Land Acquisition from KM 167.600 to 169.300 for proposed ROB at Kidari Railway Crossing (Ch. 168.231) on National Highway No.76, in the State of Uttar Pradesh.",,50,12,38,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59856
978,59858,RO Patna,Acquisition of land in respect of national Highway No-120 (GOH - DAUDNAGAR-NASRIGANJ - DAWAT - DUMRAON section) from km 142.050 to km 245.665 in the State of Bihar.,,50,0,50,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59858
979,59859,RO Patna,Construction of Bhabhua Bypass from Ch. 10+800(Design Ch. 10+800) to Ch. 19+860 (Design Ch. 18+150) and Chand Bypass from Ch. 38+060 (Design Ch. 36+250) to Ch. 40+460 (Design Ch. 38+650) and widening of existing road to 2 - lane with Paved shoulder from Ch. 40+460 (Design Ch. 38+650) to Ch. 46+860 (Design Ch. 45+050) of NH-219 (Total length-16.150 Km)under EPC mode in the state of Bihar,,80,0,80,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59859
980,59867,(RO Dehradun),"ADDITIONAL CONSULTANCY SERVICES FOR CARRYING OUT FEASIBILITY STUDY, PREPARATION OF DETAILED PROJECT REPORT AND PROVIDING PRE-CONSTRUCTION SERVICES IN RESPECT OF UP-GRADATION TO TWO LANES WITH PAVED SHOULDER NH 09 NH CONFIGURATION OF CORRIDORS UNDER BHARAT MALA PROJECTS, FROM KM 72.00 TO KM 107.600 (BALUVAKOT - TAWAGHAT) , NH CONNECTIVITY TO BRT PLACES OF THE COUNTRY AND ADB FUNDED PROJECTS IN THE STATE OF UTTARAKHAND.",,4,0,4,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59867
981,59868,RO Ranchi,"Construction of Chatra Bypass on NH-99 (New NH No.22) from km 42.112 to km 56.342 National Highways Project under NH Act, 1956 in the State of Jharkhand.",,72.19,0,72.19,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59868
982,59875,RO Raipur,Strengthening and widening of existing 2 lane road to two paved shoulder from km 7.700to km 104.750 (Bilaspur-mungeli-takthpur-pandriya) of NH 130 A on EPC mode in the state of chhattisgarh,,162,0,162,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59875
983,59879,CE-NH (PWD) Punjab,Construction of Kapurthala bypass and Dadwindi realignment on section of Jalandhar â€“ Kapurthala â€“ Sultanpur lodhi â€“ Makhu Road of NH 703A in the state of Punjab.,,125.34,0,125.34,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59879
984,59880,(RO Bangalore),Legacy Data Acquired with or without structure falling within the stretch of land from Km 343.800 to Km 486.690 Madugiri to A.P. Border section of National Highway No 234 in the State of Karnataka,,200,0,200,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59880
985,59881,RO Ranchi,"Widening and Srengthening/Construction of Bridges of NH-99 (New NH No - 22) from km 61 to km 79 under NH Act, 1956 in the State of Jharkhand.",,5,0,5,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59881
986,59888,(RO Dehradun),Construction of 4lane ROB and its approaches in liue of existing level crossing NO. 43-B at km from 1.9 to km 2.79 on NH-121 in the state of uttarakhand on EPC mode-Uploading section 3a on land acquisition portal,,1,0,1,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59888
987,59889,CE-NH (PEW) Andhra Pradesh,Rehabilitation and upgradation of NH-544E from Km.0/000 to 56/803 of (Kodikonda Checkpost - Madakasira road) to two lane with paved shoulders on EPC mode under NH(O) in the state of Andhra Pradesh.,,22,0,22,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59889
988,59894,CE-NH (PEW) Andhra Pradesh,Widening of Existing Road to Two lane with paved shoulder from Km. 0+000 to Km. 32+000 (Mudigubba to Puttaparthy) of NH-342 in the State of Andhra Pradesh on EPC mode under Annual Plan 2021-22.,,80,0,80,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59894
989,59896,(RO Dehradun),Consultancy Services for Preparation of Detailed Project Report for Rehabilitation and Upgrading to 2 lane/2 lane with paved shoulder configuration and strengthening of various National Highway Jeolikot - Ghigarikhal section in district in Almora(km 0.00 to km 109.00) of NH-87 Ext. in the state of uttarakhand. (Package no SP/B/5),,27,0,27,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59896
990,59902,RO Bhubneswar,Widening and strengthening of Bhanjanagar to aska road (NH-157) from km 119/0 to 157/98 in the state of Odisha.,,20,0,20,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59902
991,59925,RO Guwahati,"Consultancy Services for Feasibility Study and preparation of Detailed Project Report for Construction & Up-gradation of the newly declared NH â€“ 315A (Assam portion) starting from Tinsukia (Panitola) at chainage 632.00 km. on NH -15 (Old Nh-37) via Deosal, Tingrai Chariali, Sasoni, Naharkatia, Joypur & connecting Hukanjuri at Assam Arunachal Pradesh Border to NH standard",,237.493,1.217,236.276,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59925
992,59926,CE-NH (PEW) Andhra Pradesh,Widening and strengthening to 2 lane with paved shoulder from intermediate lane of NH -516E from Km 16.000 to Km 28.800 (except Km 18/400 to Km 20/000) of Rajamahendravaram to Rampachodavaram in the state of Andhra Pradesh on EPC mode,,1000,500,500,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59926
993,59928,RO Guwahati,"Construction of Two Lane with Paved Shoulder of NH-715A from Basnaghat (Design Km. 19.680) to Samrang (Indo-Bhutan Border) (Design Km. 132.81) Via. Burigaon near Kharupetia (Design Km. 59.050), Rowta (Design Km. 80.650), Udalguri, Paneri and Kachubil including a Two-lane Bridge across River Brahmaputra in the State of Assam.",,463.9,127.8,336.1,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59928
994,59931,RO Patna,Land acquisition on National Highway No.- 327E from km 118 to km 122 (Raniganj â€“ Sukelaâ€“ Bhargama Section ) in district Araria in the State of Bihar,,22.635,0,22.635,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59931
995,59932,RO Patna,Land acquisition on National Highway No.- 327E from km 129.620 to km 130 (Raniganj â€“ Sukelaâ€“ Bhargama Section ) in district Araria in the State of Bihar,,2,0,2,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59932
996,59933,RO Patna,Land acquisition on National Highway No.- 327E from km 134 to km 136 (Raniganj â€“ Sukelaâ€“ Bhargama Section ) in district Araria in the State of Bihar,,7,0,7,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59933
997,59938,(RO Dehradun),Reconstruction with geometric improvement of existing single/Intermediate lane to two lane with paved shoulder configuration from km. 338.100(Design km 333.4) to Km 368.000 (Design km 360.579) excluding existing km 349.800 to 355.495 (Kaliyasaur bypass) of NH-58 in the State of Uttarakhand EPC mode. Job No- NH 58-UR-2017-18-512,,0.0927,0,0.0927,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59938
998,59944,CE-NH (PWD) Telangana,Construction/Reconstruction of 4 lane ROB in Jadcherla Town in Km 17+000 to Km 18+000 of Jadcherla -Kalwakurthy section of NH-167 in the state of Telangana,,3.8,3,0.8,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59944
999,59946,RO Patna,Construction of new High Level RCC Major Bridge at existing location of Old Bridge across Chir River in Km 199 on NH-333A & its approaches having an aggregate length of 700m (350m on both side) in the District of Banka in the State of Bihar on EPC Mode.,,0.2,0,0.2,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59946
1000,59952,RO Ranchi,Widening of 2 lane with paved shoulder and Geometric Improvement of NH-114A from Km 141.000 to 184.000 in the State of of Jharkhand under EPC mode.(job No. 114A-JHR-2016-17/256),,8.96,0,8.96,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59952
1001,59954,CE-NH (PWD) Telangana,"Widening to 2/4 lane with Paved Shoulders of Junction at Hyderabad ORR,Valigonda-Thorrur Section (Junction at NH30) of NH-930P from Km 39+180 to Km 108+300 in the State of Telangana on EPC mode",,837.131,500.39,336.741,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59954
1002,59957,CE-NH (PEW) Andhra Pradesh,Consultancy Services for Preparation of Detailed Project Report for Widening of Two Lane With Paved Shoulders/ four lane from Km 0.000 to 107.660 of Pamarru-Digamarru Road of NH-165 in the State of Andhra Pradesh (Package\:II from Km 61.740 to 107.660),,380,18.709,361.291,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59957
1003,59961,CE-NH (PEW) Andhra Pradesh,Rehabilitation and up-gradation of existing road from 2 lane to 2 lane with paved shoulders from Km 0/000 to Km 53/590 (53.590 Km) of Rayachoty to Vempalli section of NH-440 in the State of Andhra Pradesh on EPC mode under Annual Plan 2021-22.,,100,20,80,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59961
1004,59963,CE-NH (PWD) Punjab,Upgradation to Two Lane with Paved shoulder of NH-154 A Pathankot to Banikhet road from km. 0.000 to 39.360 of NH 154A in the state of Punjab.,,101,30,71,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59963
1005,59965,CE-NH (PWD) Telangana,Widening to 2/4 lane with Paved Shoulders of Medak-Siddipet section of NH-765DG from Km 0/0 to km 70/0 in the State of Telangana on EPC mode,,343.464,273.912,69.552,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59965
1006,59966,CE-NH (PEW) Andhra Pradesh,Rehabilitation & upgradation from 2 lane to 2 lane with paved shoulders of Mulakalacheruvu to Madanapalle section of NH-42 from Km 202/050 to Km 245/640 (Excluding Retain Stretch from Km 208/270 to Km 209/970 & Km 220/190 to Km 221/620) (40.460 Km) in the State of Andhra Pradesh on EPC Mode,,452.999,64,388.999,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59966
1007,59968,CE-NH (PEW) Andhra Pradesh,Widening to 4 Lane from Bathlapalli to Mudigubba section from Chainage Km.97/410 to Chainage Km.136/410 of NH 42 (including 4 lane Bathalapalli Bypass from Km 97.410 to 103.30) in the state of Andhra Pradesh under NH(O) for the year 2021-22 on EPC mode.,,84,0,84,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59968
1008,59970,RO Patna,Construction of HL RCC Major Bridge over Punpun river of New NH-33 at km 19 (Kinjer) ( Old National Highway No-110 at Km 71) in Arwal District in the State of Bihar.,,1,0,1,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59970
1009,59972,RO Raipur,Up-gradation of NH_130D kondagaon-Narayanpur- Kasturmeta from existing Km 0.0000 to 72.000 to two ane with paved shoulder in the state of chhattisgarh on EPC Mode,,155,100,55,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59972
1010,59973,(RO Dehradun),Land Acquisition on NH-94 FROM KM 132.300 TO KM 139.800 (Barethi-Dharasu) Rishikesh- Dharasu road in district of uttarakashi in the state of uttarakhand.,,0.675,0,0.675,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59973
1011,59974,(RO Chennai),Construction of ROB and their Approaches at Km 99/4 (LC GATE NO.503/Spl-A-3/E) of NH208 Kollam-Thirumangalam road in the state of Tamil Nadu.,,4.61,1.4873,3.1227,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59974
1012,59977,CE-NH (PWD) Telangana,Widening to 2/4 lane with Paved Shoulders of Khammam-Kurvi section of NH-365A from Km 34/250 to km 71/750 in the State of Telangana on EPC mode,,198.03,21.828,176.202,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59977
1013,59979,RO Raipur,upgradation to Two/four lane with paved shoulder under corridor scheme on EPC basis of Keonchi-Ratanpur in the state of Chhattisgarh Design length 84.175,,191.83,108.95,82.88,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59979
1014,59980,(RO Kerala),Widening to 2 Lane with Paved shoulder from Km.40/000 (Puthupaddy) to Km.117/600 (Muthanga) on NH-766 in the state of Kerala,,206,154,52,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59980
1015,59981,(RO Gandhinagar),Construction of Approach portion of 4 Lane ROB at LC No. 2A Km. 532/700 on NH-68 (Radhanpur-Kamalpur-Khakhal-Roda-Dunawada-Patan-Chansma-Mehsana-Prantij Road) in the State of Gujarat.,,3.165,3,0.165,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59981
1016,59984,CE-NH (PWD) Uttar Pradesh,Land Acquisition on National Highway No. 731A from Km 0.000 to Km 35.000 in Pratapgarh District in the state of Uttar Pradesh,,200,0,200,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59984
1017,59999,RO Guwahati,"Land acquisition for Re-Alignment and improvement to 2 Lane with Paved shoulder between km. 603 to 637 of NH-37 (By pass of Mohanbari, Chabua and ther villages) NE, Phase-A in the State of Assam job No. SARDP-NE/37/AS/PWD/2009-10/124",,153,2.87,150.13,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59999
1018,60000,RO Guwahati,Land acquisition for Re-Alignment of NH-37 from the NH-52 near Rupai toexisting Nh37 at Talap (Total Length=7.75 km) under phase - A of SARDP- NE in the state of Assam. Job no.-SARDP-NE/NH 37/AS/PWD/2009-10-145,,34.85,7,27.85,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60000
1019,60001,RO Guwahati,Land acquisition for relocation of utilities of tree and R & R measures for Tinsukia and Makum Bypass of NH-37 under SARDP- NE phase - A in the state of Assam. Job no.-SARDP-NE/NH 37/AS/PWD/2008-9-66,,122.1,44.67,77.43,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60001
1020,60002,RO Bhubneswar,Acquisition of land in respect of National Highway No. 201 in the state of Odisha from the stretch from km 176.66 to 204 (From km 115.280 to 142.62of New National Hihgway no 26),,31.63,0,31.63,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60002
1021,60008,RO Guwahati,2 Laning of Shillong Nongstoin section of NH- 44(E) and Nongstoin â€“ Tura State Road under Phase A of SARDP-NE in the State of Meghalaya.,,434.92,46.32,388.6,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60008
1022,60009,RO Guwahati,Land Acquisition for 2-laning of NH150 from Km. 34.50 to 62.80 (Corresponding to Km. 28.500 to km. 60.00 of existing NH) in the State of Mizoram .,,71.4,23.69,47.71,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60009
1023,60013,CE-NH (PEW) Andhra Pradesh,"Rehabilitation and Up-gradation from Km 0/0 to 58/635 of Mydukur to Singarayakonda Via Porumammilla , Seetharampuram , C.S.Puram and Kandukur to two / four lane with paved shoulders in the state of Andhra Pradesh on EPC mode",,250,10,240,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60013
1024,60014,RO Bhubneswar,Construction of HL Bridge near Patraput in place of existing old narrow iron bridge at Chainage 323/900 of NH-326.,,10,0,10,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60014
1025,60018,CE-NH (PEW) Andhra Pradesh,Widening the urban link of NH-42 from Km.0/000 to 9/200 in Anantapuramu town in the state of Andhra Pradesh through EPC mode of contract under NH(O).,,32.05,30.63,1.42,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60018
1026,60020,RO Guwahati,"LA for realignment of NH38 Bypassing Digboi,Powai, Margherita and Leso town in Between Km. 20 .00to 53.00 of NH38 under SARDP-NE Phase A in the state of Assam Job No. SARDP-NE/NH-38/AS/PWD/2009-10/132",,97.30211,18.34291,78.9592,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60020
1027,60022,RO Bhubneswar,"Land acquisition for the work widening to 2-lane with paved shoulder from km 86/040 to 91/840 and km 103/260 to 108/940 of NH-220 including missing link, realignment and construction of HL bridge over river Baitarani and Deo in the state of Odisha",,37,0,37,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60022
1028,60028,CE-NH (PWD) Uttar Pradesh,"Land acquisition on National Highways No â€“ 330 D From Km. 0+000 to Km. 33.100 (Sitapur Bypass to Kurain) for building (widening / four-laning, etc.), maintenance, management and operation in the State of UTTAR PRADESH",,300,150,150,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60028
1029,60031,CE-NH (PWD) Uttar Pradesh,"Land acquisition on National Highways No â€“ 330 D From Km. 33.100 to Km. 39.100 (Sitapur Bypass to Kurain) for building (widening / four-laning, etc.), maintenance, management and operation in the State of UTTAR PRADESH",,300,290,10,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60031
1030,60032,RO Patna,Development of 2 lane with paved shoulder of NH-322 from Mushrigharari to Bela Nawada(Darbhanga).,,100,0,100,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60032
1031,60034,RO Bhubneswar,Widening to double lane with paved shoulder from km 294/280 to 319/280 (Nabarangpur to Boriguma) of NH-26 in the state of Odisha.,,6,0,6,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60034
1032,60041,CE-NH (PWD) Telangana,Widening to 2/4 lane with Paved Shoulders of Siddipet-Elkathurthy section of NH-765DG from Km 70/0 to km 137/132 in the State of Telangana on EPC mode,,343.464,273.912,69.552,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60041
1033,60044,RO Raipur,Up-gradation of NH-130C Madangamuda to Deobhog from NH- km. 163.800 to Km. 196.800 to two lane paved shoulder in the State of Chhattisgarh on EPC mode. 130C,,70,68,2,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60044
1034,60045,CE-NH (PEW) Andhra Pradesh,Widening to 4 lane of Missing link between NH-40 and NH-69 from Chainage Km.351+460 to Km.358+260 of NH-40 as continuation of NH-40 in the state of Andhra Pradesh under NH(O) for the year 2021-22 on EPC mode.,,25.8,23.8,2,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60045
1035,60046,CE-NH (PWD) Uttar Pradesh,"Land Acquisition from KM 135.241 to 135.490 for proposed Kulpahar District Mahoba on National Highway No.76, in the State of Uttar Pradesh.",,10,2,8,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60046
1036,60051,(RO Bangalore),Construction Bypass to Nargund Navalgund towns,,20,0,20,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60051
1037,60061,CE-NH (PWD) Telangana,Widening to 2/4 lane with Paved Shoulders Mahabubnagar - Chincholi Section from km 0/0 to km 60/255 of NH-167N on EPC Mode in the State of Telangana,,329.81,229.13,100.68,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60061
1038,60064,CE-NH (PWD) Uttar Pradesh,"Land Acquisition from KM 154.820 to 159.580 on National Highway No.76, for proposed Mahoba Bypass District Mahoba, in the State of Uttar Pradesh.",,100,50,50,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60064
1039,60066,RO Ranchi,Land Acquisition for Construction of Lohardaga Bypass of NH-143A from Km 12.800 to Km 29.080 in the State of Jharkhand,,105,0,105,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60066
1040,60070,RO Bhubneswar,Widening to 2-lane with paved shoulders from km 0/0 to 52/0 (Dhaugaon to Taptapani section) of NH-326 in the state of Odisha,,28,0,28,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60070
1041,60071,CE-NH (PWD) Uttar Pradesh,"Land Acquisition from KM 144.710 to 148.158 on National Highway No.76, for proposed Supa ROB Tehsil Charkhari District Mahoba, in the State of Uttar Pradesh.",,50,10,40,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60071
1042,60072,RO Bhubneswar,Reconstruction of H.L major bridge across river tel near Sonepur at km 51/200 of NH-57 in the state of Odisha,,11,0,11,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60072
1043,60076,CE-NH (PWD) Telangana,Widening to 2 Lane with Paved shoulders from km 62.920 to 158.496 of Medak-Yellareddy-Rudrur section of NH-765D in the State of Telangana on EPC mode.,,293.586,230.286,63.3,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60076
1044,60078,CE-NH (PWD) Uttar Pradesh,Land Acquisition on National Highway No. 731A from Km 35.000 to Km 64.682 in Prayagraj District in the state of Uttar Pradesh.,,60,0,60,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60078
1045,60087,RO Bhubneswar,Widening to 2 lane with paved shoulder from km 0/0 to 34/200 Jareikela to Dhabaleswar section of NH-320D in the state of Odisha.,,55,0,55,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60087
1046,60089,CE-NH (PWD) Telangana,Widening to 2 lane with paved shoulders of Maharashtra-Telangana state border-Bodhan section from Km 0.000 to Km 8.380 of NH-63 in the State of Telanganaâ€“under Annual plan 2021-22,,25.14,5.8,19.34,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60089
1047,60091,(RO Dehradun),old land acquisition of NH-109 FROM KM 23.600 TO KM 73.600 (55.381 KM) including kund bypass in the district of rudraprayag in state of uttarakhand,,87,0,87,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60091
1048,60096,CE-NH (PEW) Andhra Pradesh,Widening and Strengthening of 2/4 lane to 4 lane carriageway from Km 6/0 to 15/0 of Kurnool Guntur road (NH-340C) in Kurnool District (Kurnool Municipal Corporation Limits) in the State of Andhra Pradesh on EPC Basis.,,15,1.42,13.58,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60096
1049,60098,(RO Bangalore),Construction of Major Bridge (yamanur Village Navalgund Taluk ) Km 161.315 of Bijapur - Hubli Section on NH-218 KNT-2011-645) Legacy Data,,6.723125,0,6.723125,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60098
1050,60099,(RO Gandhinagar),Construction of major Bridge over river Sabarmati and down steam of Dharoi Dam on NH 58.,,30,3.457,26.543,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60099
1051,60102,CE-NH (PWD) Uttar Pradesh,Land Acquisition on National Highway No. 731A from Km 35.000 to Km 112.950 in Kaushambi District in the state of Uttar Pradesh.,,500,0,500,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60102
1052,60103,CE-NH (PWD) Uttar Pradesh,Land Acquisition on National Highway No. 731A from Km 35.000 to Km 64.682 in Pratapgarh District in the state of Uttar Pradesh.,,120,0,120,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60103
1053,60106,CE-NH (PWD) Telangana,Widening to 4 lane of existing bridge at km 4/4 of Nizamabad-Jagdalpur section of NH-63 in the State of Telangana under Annual Plan 2021-22 on EPC Mode,,3.72,1.7,2.02,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60106
1054,60107,(RO Bangalore),"Acquisition of land in respect of construction of Bypass to Hubli City connecting NH-218,NH-63 and NH-4 in the state of karnataka Legacy Data",,200,0,200,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60107
1055,60111,(RO Dehradun),Consultancy Services for Preparation of Detailed Project Report for Rehabilitation and Upgrading to 2 lane/2 lane with paved shoulder configuration and strengthening of various National Highway Jeolikot - Ghigarikhal section in district in Nainital km 0.00 to km 109.00 (00.000 to km 57.000)of NH-87 Ext. in the state of uttarakhand.,,10,0,10,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60111
1056,60113,(RO Jaipur),Upgradation to Two lane with paved shoulder from km 33/00 to km 127/00 Kauthon- Lalsot- Gangapur- Karauli section on NH-23 in the State of Rajasthan.,,2,0,2,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60113
1057,60115,RO Ranchi,Widening/Reconstruction to 2-lane with paved shoulder/Four lane and Geometric Improvement of NH-333A from Km 12.400 to 42.200 (Godda Sarkanda Chowk to Shimlong under Godda District) in the State of Jharkhand.,,100,0,100,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60115
1058,60118,CE-NH (PWD Mahrashtra),"Rehabilitation and Upgradation of Auragabad â€“ Sillod - Ajanta - Jalgaon, NH753F from Km. 47+500 to Km. 54+500 (Design Chainage )to four lane configuration in the State of Maharashtra.",,2.76,1.56,1.2,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60118
1059,60119,CE-NH (PEW) Andhra Pradesh,Construction of 4 lane Fly Over at Km 742/600 (Old Km 746/000) of NH-67 (at Muthukur road Junction) in Nellore District in the state of Andhra Pradesh on EPC mode,,4,2.43,1.57,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60119
