sno,project_id,ro_pd_name,project_name,project_number,land_required_ha,land_available_ha,land_to_be_acquired_ha,url
326,58101,CE-NH (PWD Mahrashtra),Up-gradation to 2 lane road with paved shoulders/four lane configuration of Bhokar (Km. 21.00) to Sarsam (Km. 54.000) Budruk section of NH-161A (Desing Ch 0.000 Km. to Ch. 33.000Km) on EPC mode in the State of Maharashtra,,101.52,85.08,16.44,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58101
327,58102,RO MPRDC Bhopal,UPGRADATION OF REWA MP/UP BORDER SECTION OF NH-7 (REWA-HANUMANA) IN THE STATE OF MADHYA PRADESH FROM KM 140.600 TO KM 229.830,,325,200,125,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58102
328,58106,CE-NH (PWD Mahrashtra),Upgradation to two lane with paved shoulder from Malewada to Chimur section km 16/00 to 47/700 of NH 353E on EPC mode in the state of Maharashtra,,84.966,70.086,14.88,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58106
329,58107,CE-NH (PWD Mahrashtra),Estimate of package II Upgradation to two lane with paved shoulder from Chimur to Warora km 47/700 to 98/350 (Pack II) (Excluding 52/700 to 60/600) of MH-353E on EPC mode in the State of Maharashtra,,130.281,112.224,18.057,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58107
330,58108,CE-NH (PWD Mahrashtra),Rehabilitation and Up-gradation of Karad to Vita section of National Highway NH-166E from existing Km. 134.617 to Km. 182.117 (Design Km. 00.000 to Km. 47.500) in the state of Maharashtra on EPC mode (Total Lenght = 47.500Km),,95.3,85.133,10.167,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58108
331,58109,CE-NH (PWD Mahrashtra),Rehabilitation and Up-gradation of Vita to Nagaj section of National Highway NH-166E from existing Km. 182.117 to Km. 228.772 (Design Km. 47.500 to Km. 94.155) to Two lane with paved shoulders in the state of Maharashtra on EPC mode (Total Lenght = 46.655Km),,184.12,56.78,127.34,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58109
332,58111,CE-NH (PWD Mahrashtra),Upgradation to two lane paved shoulder from Mul - Chandrapur Section NH 930 from km 233/414 to 273/088 (Existing Chainage Km. 234.025 to Km. 273.719) of Jhalamal- Balod - Kusumkasa - Murumgaon - Dhanora - Gadchiroli - Mul - Chandrapur section (Package 3) on EPC mode in the state of Maharashtra,,96.865,95.218,1.647,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58111
333,58112,CE-NH (PWD Mahrashtra),Upgradation of two lane with Paved shoulder from Gadchiroli - Mul Section from 189/00 to 229/692 & From km 232/289 to km 233/414 of NH 930 Jhalamala - Balod \_ Kusumkasa \_ Murumgaon \_ Dhanora - Gadchiroli - mul - Chandrapur section (Package 2) on EPC Modein the State of Maharashtra,,108.881,99.881,9,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58112
334,58113,CE-NH (PWD Mahrashtra),Estimate for the work of improvment of road to two lane with paved shoulder from Bamni Km. 242.150 to near Ashti Km. 284.400 section of NH-353B in the state of Maharashtra on EPC mode,,113.67,104,9.67,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58113
335,58115,CE-NH (PWD) Madhya Pradesh,Detailed project Report (DPR)/Feasibility study for 4 Package (2 New declared NH & 2 In principle NH) in the State of Madhya Pradesh during 2016-17(sanctioned issued under Ministrys letter no. RW/NH-12037/06/2016/Misc/MP/P 3-5 dated 0.03.2017) - regarding revised technical approval â€“( Package- vii) Baran - Mangrol - Sheopur Road Chainage K.m. 0+000 to 36+460 K.m.,,106.84,70.55,36.29,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58115
336,58118,CE-NH (PWD Mahrashtra),Rehabilitation and upgradation of NH-66 from Km 281/300 to km 332/200 ( Kante-Waked Section) to four lane in the state of Maharashtra under NHDP-IV on Hybrid Annuity mode,,226.55,120.5,106.05,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58118
337,58120,(CE-NH) MSRDC,"Rehabilitation and Upgradation of Sakri - Pimpalner - Satana -Mangrul - Manmad road, NH- 752G Two lane with paved shoulder, Section - III Km 64+000 to Km. 101+140.",,89.382,85.42,3.962,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58120
338,58121,(CE-NH) MSRDC,"Rehabilitation and Upgradation of Sakri - Pimpalner - Satana -Mangrul - Manmad road, NH- 752G Two lane with paved shoulder, Section - IV Km 104+600 to 128+650 Km",,60.4,57.72,2.68,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58121
