project_code,snapshot_month,sector_name,line_ministry,original_cost_crore,expenditure_crore,days_to_original_deadline,original_deadline_passed,expenditure_to_original_cost_pct,will_schedule_slip_next_3_months
400109,2026-01,Water Resources,"Department of Water Resources, River Development & GR",848,690.49,-2041.0,1,81.42570754716981,0
400111,2026-01,Water Resources,"Department of Water Resources, River Development & GR",460,616.93,-2223.0,1,134.11521739130436,0
400112,2026-01,Water Resources,"Department of Water Resources, River Development & GR",7223,9390.82,881.0,0,130.01273708985187,0
400115,2026-01,Water Resources,"Department of Water Resources, River Development & GR",751,783.1,-2223.0,1,104.27430093209055,0
400116,2026-01,Water Resources,"Department of Water Resources, River Development & GR",1229,2068.79,-2223.0,1,168.33116354759966,1
400119,2026-01,Oil & Gas,Ministry of Petroleum & Natural Gas,3191,3123.2,-2833.0,1,97.875274208712,1
400120,2026-01,Oil & Gas,Ministry of Petroleum & Natural Gas,34012,32559.0,-2041.0,1,95.72797836057862,1
400121,2026-01,Steel,Ministry of Steel,1044,443.37,206.0,0,42.4683908045977,0
400136,2026-01,Coal,Ministry of Coal,2660,6.57,2251.0,0,0.2469924812030075,0
400138,2026-01,Coal,Ministry of Coal,974,440.75,2251.0,0,45.25154004106776,0
400139,2026-01,Coal,Ministry of Coal,861,455.95,2251.0,0,52.95586527293844,0
400141,2026-01,Metals & Mining,Ministry of Mines,4103,4556.52,-1127.0,1,111.05337557884476,0
400142,2026-01,Coal,Ministry of Coal,2243,1289.25,973.0,0,57.47882300490414,0
400144,2026-01,Coal,Ministry of Coal,2310,92.68,1155.0,0,4.012121212121213,0
400148,2026-01,Coal,Ministry of Coal,869,279.78,-1767.0,1,32.195627157652474,0
400149,2026-01,Coal,Ministry of Coal,2310,958.18,1155.0,0,41.47965367965368,0
400150,2026-01,Coal,Ministry of Coal,7254,1618.78,790.0,0,22.31568789633306,0
400151,2026-01,Coal,Ministry of Coal,779,602.95,1155.0,0,77.400513478819,0
400152,2026-01,Coal,Ministry of Coal,1249,498.6,59.0,0,39.91993594875901,0
400153,2026-01,Coal,Ministry of Coal,1020,84.94,790.0,0,8.327450980392156,0
400154,2026-01,Coal,Ministry of Coal,713,236.58,424.0,0,33.180925666199165,0
400155,2026-01,Coal,Ministry of Coal,2898,185.05,1885.0,0,6.3854382332643205,0
400156,2026-01,Coal,Ministry of Coal,5136,1264.89,790.0,0,24.627920560747665,0
400160,2026-01,Coal,Ministry of Coal,511,488.71,-3593.0,1,95.63796477495107,0
400162,2026-01,Coal,Ministry of Coal,999,492.6,-1037.0,1,49.30930930930931,0
400165,2026-01,Coal,Ministry of Coal,1694,1326.85,2274.0,0,78.32644628099173,0
400166,2026-01,Coal,Ministry of Coal,5195,3462.83,1155.0,0,66.65697786333013,0
400167,2026-01,Oil & Gas,Ministry of Petroleum & Natural Gas,1163,1143.03,59.0,0,98.28288907996561,1
400168,2026-01,Oil & Gas,Ministry of Petroleum & Natural Gas,8797,7568.46,-298.0,1,86.03455723542118,1
400169,2026-01,Oil & Gas,Ministry of Petroleum & Natural Gas,631,600.07,-306.0,1,95.09825673534074,1
400171,2026-01,Oil & Gas,Ministry of Petroleum & Natural Gas,1421,1234.54,-1078.0,1,86.87825475017593,1
400172,2026-01,Coal,Ministry of Coal,514,230.98,59.0,0,44.93774319066148,0
400173,2026-01,Coal,Ministry of Coal,889,121.34,59.0,0,13.649043869516312,0
400174,2026-01,Steel,Ministry of Steel,1034,929.04,-3014.0,1,89.84912959381045,0
400177,2026-01,Coal,Ministry of Coal,727,539.0,-306.0,1,74.14030261348006,0
400178,2026-01,Coal,Ministry of Coal,823,630.25,424.0,0,76.57958687727825,0
400180,2026-01,Coal,Ministry of Coal,570,83.47,59.0,0,14.643859649122806,0
400181,2026-01,Coal,Ministry of Coal,503,71.86,1155.0,0,14.286282306163024,0
400182,2026-01,Coal,Ministry of Coal,535,5.59,424.0,0,1.044859813084112,0
400183,2026-01,Coal,Ministry of Coal,3504,976.35,1155.0,0,27.8638698630137,0
400185,2026-01,Coal,Ministry of Coal,8416,1750.64,1520.0,0,20.80133079847909,0
400186,2026-01,Coal,Ministry of Coal,749,52.89,1155.0,0,7.061415220293725,0
400187,2026-01,Coal,Ministry of Coal,2435,1897.72,424.0,0,77.93511293634498,0
400188,2026-01,Real Estate,Ministry of Housing & Urban Affairs,32850,12339.0,-31.0,1,37.56164383561644,0
400192,2026-01,Coal,Ministry of Power,1581,599.74,120.0,0,37.93421884882985,0
400203,2026-01,Railways,Ministry of Coal,1686,536.26,334.0,0,31.80664294187426,0
400204,2026-01,Railways,Ministry of Railways,4940,1283.08,1733.0,0,25.97327935222672,0
400205,2026-01,Railways,Ministry of Railways,1320,522.19,1155.0,0,39.55984848484849,0
400220,2026-01,Railways,Ministry of Railways,3055,2637.75,-2680.0,1,86.34206219312603,1
400223,2026-01,Railways,Ministry of Railways,713,633.24,419.0,0,88.81346423562412,0
400231,2026-01,Electricity Generation,Ministry of Coal,27213,2616.26,1520.0,0,9.614008010877155,0
400232,2026-01,Railways,Ministry of Railways,297,215.98,329.0,0,72.72053872053871,0
400247,2026-01,Railways,Ministry of Railways,1000,1057.36,393.0,0,105.73599999999999,1
400253,2026-01,Railways,Ministry of Railways,4803,6049.39,-36.0,1,125.95023943368729,0
400254,2026-01,Railways,Ministry of Railways,735,588.82,-396.0,1,80.11156462585035,0
400259,2026-01,Electricity Generation,Ministry of Coal,17238,20967.3,-1892.0,1,121.63418029933865,0
400261,2026-01,Electricity Generation,Ministry of Power,18668,18186.0,-1037.0,1,97.41804156845939,0
400271,2026-01,Railways,Ministry of Railways,3445,3002.93,-309.0,1,87.16777939042089,0
400273,2026-01,Railways,Ministry of Railways,1189,1349.63,-2498.0,1,113.50967199327167,0
400275,2026-01,Railways,Ministry of Railways,3631,1185.28,-137.0,1,32.643348939686035,0
400277,2026-01,Railways,Ministry of Railways,8964,8482.33,-31.0,1,94.62661758143686,1
400280,2026-01,Railways,Ministry of Railways,734,479.19,-191.0,1,65.28474114441417,0
400291,2026-01,Railways,Ministry of Railways,1589,1601.53,-2132.0,1,100.78854625550662,1
400298,2026-01,Railways,Ministry of Railways,2312,2650.58,485.0,0,114.64446366782006,0
400299,2026-01,Metals & Mining,Ministry of Mines,1381,769.17,-306.0,1,55.69659666908038,0
400301,2026-01,Energy Storage,Ministry of Petroleum & Natural Gas,678,943.82,-3262.0,1,139.20648967551622,0
400312,2026-01,Coal,Ministry of Coal,1210,550.2,1155.0,0,45.47107438016529,0
400313,2026-01,Coal,Ministry of Coal,2662,794.33,-2365.0,1,29.839594290007515,0
400315,2026-01,Coal,Ministry of Coal,5366,599.41,1155.0,0,11.170518076779723,0
400321,2026-01,Coal,Ministry of Coal,1730,880.24,-306.0,1,50.88092485549133,0
400352,2026-01,Coal,Ministry of Coal,765,145.81,1885.0,0,19.060130718954248,0
400353,2026-01,Coal,Ministry of Coal,711,172.84,790.0,0,24.30942334739803,0
400354,2026-01,Coal,Ministry of Coal,5241,2872.57,1155.0,0,54.809578324747186,0
400369,2026-01,Coal,Ministry of Coal,836,831.11,-671.0,1,99.41507177033493,0
400382,2026-01,Shipping,"Ministry of Ports, Shipping and Waterways",6000,5999.89,-1037.0,1,99.99816666666668,0
400392,2026-01,Coal,Ministry of Coal,2839,1678.4,1155.0,0,59.11940824233886,0
400416,2026-01,Railways,Ministry of Coal,1800,1663.13,-215.0,1,92.39611111111111,0
400424,2026-01,Coal,Ministry of Coal,11816,6822.05,-1037.0,1,57.73569735951253,0
400425,2026-01,Coal,Ministry of Coal,1230,649.78,-2498.0,1,52.82764227642276,1
400426,2026-01,Metals & Mining,Ministry of Mines,1856,955.12,-2102.0,1,51.46120689655172,1
602096,2026-01,Electricity Generation,Ministry of Power,6285,25826.4,-5624.0,1,410.9212410501193,0
602098,2026-01,Education,Department of Higher Education,425,484.52,-946.0,1,114.00470588235294,0
602099,2026-01,Education,Department of Higher Education,393,329.07,-823.0,1,83.7328244274809,1
602181,2026-01,Electricity Generation,Ministry of Power,5748,4050.79,-695.0,1,70.47303409881698,0
602182,2026-01,Electricity Generation,Ministry of Power,31876,3933.3,2217.0,0,12.339377588154097,0
602184,2026-01,Electricity Generation,Ministry of Power,1382,1432.07,-2315.0,1,103.62301013024602,0
602185,2026-01,Electricity Generation,Ministry of Power,2978,7401.46,-4689.0,1,248.53794492948288,0
602193,2026-01,Electricity Generation,Ministry of Power,4826,8189.07,-1325.0,1,169.6864898466639,0
602195,2026-01,Electricity Generation,Ministry of Power,3860,5100.28,-1143.0,1,132.13160621761656,0
602223,2026-01,Transmission & Distribution,Ministry of Power,4754,7904.16,-2600.0,1,166.26335717290704,0
602525,2026-01,Electricity Generation,Ministry of Power,8112,8057.69,-2105.0,1,99.33049802761342,0
602532,2026-01,Electricity Generation,Ministry of Power,4288,3313.59,-877.0,1,77.27588619402985,0
602535,2026-01,Electricity Generation,Ministry of Power,5282,1415.21,10.0,0,26.793070806512688,0
602538,2026-01,Electricity Generation,Ministry of Power,1037,1123.79,-740.0,1,108.36933461909352,0
602579,2026-01,Electricity Generation,Ministry of Power,10439,13009.5,-754.0,1,124.62400613085545,1
602582,2026-01,Electricity Generation,Ministry of Power,688,1048.07,-87.0,1,152.33575581395348,0
602593,2026-01,Electricity Generation,Ministry of Power,1811,1878.51,-12.0,1,103.72777471010491,0
602633,2026-01,Electricity Generation,Ministry of Power,2615,495.57,424.0,0,18.951051625239003,0
602792,2026-01,Railways,Ministry of Railways,1171,381.99,-337.0,1,32.62083689154569,1
602797,2026-01,Railways,Ministry of Railways,462,197.33,424.0,0,42.71212121212121,0
602961,2026-01,Electricity Generation,Ministry of Power,11844,5442.33,485.0,0,45.950101317122595,0
603293,2026-01,Coal,Ministry of Power,502,399.59,11292.0,0,79.5996015936255,0
603945,2026-01,Water Resources,"Department of Water Resources, River Development & GR",567,2755.98,-2223.0,1,486.06349206349205,0
604791,2026-01,Oil & Gas,Ministry of Petroleum & Natural Gas,12366,18314.2,-553.0,1,148.10124535015365,1
604795,2026-01,Oil & Gas,Ministry of Petroleum & Natural Gas,31580,1404.61,-243.0,1,4.447783407219759,0
604833,2026-01,Energy Storage,Ministry of Petroleum & Natural Gas,281,247.89,-245.0,1,88.2170818505338,0
604852,2026-01,Energy Storage,Ministry of Petroleum & Natural Gas,980,255.06,303.0,0,26.026530612244898,0
604853,2026-01,Oil & Gas,Ministry of Petroleum & Natural Gas,2282,1834.01,-1127.0,1,80.36853637160387,0
604859,2026-01,Oil & Gas,Ministry of Petroleum & Natural Gas,13805,8174.39,-731.0,1,59.21325606664253,0
604863,2026-01,Oil & Gas,Ministry of Petroleum & Natural Gas,683,597.01,-2163.0,1,87.4099560761347,0
605155,2026-01,Electricity Generation,Ministry of Power,4526,1203.55,283.0,0,26.59191338930623,0
605156,2026-01,Electricity Generation,Ministry of Power,938,1557.72,-612.0,1,166.0682302771855,0
605292,2026-01,Education,Department of Higher Education,348,290.39,-946.0,1,83.44540229885057,0
606013,2026-01,Education,Department of Higher Education,499,446.99,-549.0,1,89.57715430861724,0
606112,2026-01,Education,Department of Higher Education,154,125.03,-815.0,1,81.18831168831169,0
606431,2026-01,Education,Department of Higher Education,1006,663.4,-1334.0,1,65.94433399602386,0
606479,2026-01,Education,Department of Higher Education,246,200.11,-1219.0,1,81.34552845528455,0
607701,2026-01,Oil & Gas,Ministry of Petroleum & Natural Gas,412,467.7,-823.0,1,113.51941747572816,0
607709,2026-01,Transmission & Distribution,Ministry of Power,5111,5474.57,-2588.0,1,107.1134807278419,1
609019,2026-01,Education,Department of Higher Education,500,403.6,-1037.0,1,80.72,0
609424,2026-01,Shipping,"Ministry of Ports, Shipping and Waterways",4244,1145.0,406.0,0,26.979264844486334,1
609736,2026-01,Education,Department of Higher Education,314,278.69,-392.0,1,88.7547770700637,0
609996,2026-01,Education,Department of Higher Education,262,200.11,-465.0,1,76.37786259541986,0
610315,2026-01,Education,Department of Higher Education,1229,835.6,-1767.0,1,67.99023596419855,0
610984,2026-01,Oil & Gas,Ministry of Petroleum & Natural Gas,431,238.67,-741.0,1,55.37587006960557,1
611016,2026-01,Coal,Ministry of Coal,385,359.08,-1949.0,1,93.26753246753246,1
611017,2026-01,Coal,Ministry of Coal,334,151.13,-2833.0,1,45.24850299401197,0
611047,2026-01,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,861,271.48,141.0,0,31.530778164924513,1
611142,2026-01,Inland Waterways,"Ministry of Ports, Shipping and Waterways",177,383.41,-915.0,1,216.61581920903959,0
611452,2026-01,Railways,Ministry of Railways,311,263.42,-31.0,1,84.70096463022509,0
611495,2026-01,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,1549,380.97,400.0,0,24.594577146546158,0
611509,2026-01,Electricity Generation,Ministry of Power,14358,1632.9,1138.0,0,11.37275386544087,0
611570,2026-01,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,500,358.76,-142.0,1,71.752,0
611586,2026-01,Electricity Generation,Ministry of Power,2615,1042.48,793.0,0,39.86539196940726,0
611602,2026-01,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,1207,230.44,-184.0,1,19.09196354598177,1
611669,2026-01,Railways,Ministry of Railways,380,244.67,424.0,0,64.38684210526316,0
611698,2026-01,Electricity Generation,Ministry of Power,1939,71.88,1275.0,0,3.7070654976792157,0
611699,2026-01,Electricity Generation,Ministry of Power,1750,61.45,1275.0,0,3.5114285714285716,0
611735,2026-01,Transmission & Distribution,Ministry of Power,331,151.73,-306.0,1,45.839879154078545,1
611751,2026-01,Railways,Ministry of Railways,961,803.0,424.0,0,83.55879292403746,0
611752,2026-01,Railways,Ministry of Railways,352,121.49,424.0,0,34.51420454545455,0
611754,2026-01,Railways,Ministry of Railways,293,160.38,181.0,0,54.737201365187715,0
611849,2026-01,Railways,Ministry of Railways,969,196.05,852.0,0,20.232198142414862,0
611855,2026-01,Railways,Ministry of Railways,969,576.63,365.0,0,59.5077399380805,0
611861,2026-01,Railways,Ministry of Railways,352,298.26,515.0,0,84.73295454545455,0
611864,2026-01,Coal,Ministry of Coal,4012,414.93,1520.0,0,10.34222333000997,0
611884,2026-01,Railways,Ministry of Railways,471,235.07,759.0,0,49.90870488322717,0
611917,2026-01,Oil & Gas,Ministry of Petroleum & Natural Gas,1459,1447.65,-306.0,1,99.22206991089789,1
611918,2026-01,Railways,Ministry of Railways,468,20.28,423.0,0,4.333333333333334,0
611927,2026-01,Railways,Ministry of Railways,561,276.66,-762.0,1,49.31550802139038,0
611929,2026-01,Railways,Ministry of Railways,167,0.0,-398.0,1,0.0,0
611930,2026-01,Electricity Generation,Ministry of Power,15530,3622.38,881.0,0,23.32504829362524,0
611943,2026-01,Railways,Ministry of Railways,410,9.27,730.0,0,2.2609756097560973,1
611945,2026-01,Railways,Ministry of Railways,307,13.66,1581.0,0,4.449511400651466,0
611947,2026-01,Transmission & Distribution,Ministry of Power,428,351.21,-230.0,1,82.05841121495327,1
611948,2026-01,Transmission & Distribution,Ministry of Power,2211,2087.01,-276.0,1,94.39213025780191,1
611949,2026-01,Transmission & Distribution,Ministry of Power,1796,1652.33,-276.0,1,92.00055679287304,0
611951,2026-01,Transmission & Distribution,Ministry of Power,689,685.98,-337.0,1,99.56168359941945,1
611957,2026-01,Education,Department of Higher Education,496,56.35,384.0,0,11.360887096774194,0
611963,2026-01,Education,Department of Higher Education,651,308.05,607.0,0,47.31950844854071,0
611966,2026-01,Transmission & Distribution,Ministry of Power,224,121.18,-206.0,1,54.098214285714285,1
611967,2026-01,Transmission & Distribution,Ministry of Power,1249,1102.46,-123.0,1,88.26741393114492,1
611970,2026-01,Railways,Ministry of Railways,670,45.21,1520.0,0,6.747761194029851,0
611971,2026-01,Railways,Ministry of Railways,350,70.64,1520.0,0,20.182857142857145,0
611974,2026-01,Railways,Ministry of Railways,1430,323.15,333.0,0,22.597902097902097,1
611977,2026-01,Railways,Ministry of Railways,487,222.88,-337.0,1,45.765913757700204,0
611978,2026-01,Railways,Ministry of Railways,158,51.87,-306.0,1,32.82911392405063,0
611979,2026-01,Railways,Ministry of Railways,250,127.56,-215.0,1,51.024,1
612072,2026-01,Railways,Ministry of Railways,962,361.72,424.0,0,37.600831600831604,0
612096,2026-01,Railways,Ministry of Railways,1209,418.64,424.0,0,34.62696443341605,0
612128,2026-01,Education,Department of Higher Education,167,102.52,54.0,0,61.38922155688622,1
612132,2026-01,Transmission & Distribution,Ministry of Power,2000,1566.4,-176.0,1,78.32000000000001,1
612133,2026-01,Transmission & Distribution,Ministry of Power,2056,1685.92,-36.0,1,82.0,1
612134,2026-01,Transmission & Distribution,Ministry of Power,2998,2248.75,-36.0,1,75.00833889259506,1
612138,2026-01,Transmission & Distribution,Ministry of Power,2148,1769.42,8.0,0,82.37523277467412,0
612139,2026-01,Transmission & Distribution,Ministry of Power,3752,2138.53,-37.0,1,56.99706823027719,0
612140,2026-01,Transmission & Distribution,Ministry of Power,2889,2033.26,-37.0,1,70.37937002422984,1
612142,2026-01,Electricity Generation,Ministry of Power,17195,2458.83,1489.0,0,14.299680139575457,0
612151,2026-01,Transmission & Distribution,Ministry of Power,334,256.07,-184.0,1,76.66766467065868,1
612167,2026-01,Healthcare,Ministry of Labour and Employment,384,167.37,-114.0,1,43.5859375,0
612178,2026-01,Healthcare,Ministry of Labour and Employment,153,119.22,-233.0,1,77.92156862745098,1
612183,2026-01,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,1413,,424.0,0,,0
612185,2026-01,Healthcare,Ministry of Labour and Employment,209,202.62,-242.0,1,96.94736842105264,0
612186,2026-01,Healthcare,Ministry of Labour and Employment,558,63.62,32.0,0,11.40143369175627,0
612188,2026-01,Healthcare,Ministry of Labour and Employment,429,323.98,-134.0,1,75.51981351981352,1
612194,2026-01,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,912,290.1,161.0,0,31.80921052631579,1
612201,2026-01,Healthcare,Ministry of Labour and Employment,143,116.08,-294.0,1,81.17482517482517,1
612211,2026-01,Healthcare,Ministry of Labour and Employment,206,24.06,-118.0,1,11.679611650485436,1
612213,2026-01,Healthcare,Ministry of Labour and Employment,195,114.39,-153.0,1,58.66153846153846,0
612259,2026-01,Healthcare,Ministry of Labour and Employment,102,322.55,-458.0,1,316.22549019607845,0
612513,2026-01,Healthcare,Ministry of Labour and Employment,165,16.4,494.0,0,9.939393939393938,0
612745,2026-01,Healthcare,Ministry of Labour and Employment,278,228.61,346.0,0,82.2338129496403,0
612748,2026-01,Healthcare,Ministry of Labour and Employment,151,6.76,393.0,0,4.47682119205298,0
612781,2026-01,Steel,Ministry of Steel,917,169.02,311.0,0,18.43184296619411,1
612786,2026-01,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,266,97.14,-4.0,1,36.5187969924812,1
612787,2026-01,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,320,112.06,-10.0,1,35.01875,0
612788,2026-01,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,322,170.49,1.0,0,52.947204968944106,1
612789,2026-01,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,485,128.81,-125.0,1,26.558762886597936,1
612790,2026-01,Oil & Gas,Ministry of Petroleum & Natural Gas,385,184.83,-75.0,1,48.00779220779221,1
612791,2026-01,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,328,111.43,-121.0,1,33.97256097560975,0
612793,2026-01,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,323,51.21,122.0,0,15.854489164086688,1
612815,2026-01,Railways,Ministry of Railways,170,9.1,424.0,0,5.352941176470588,0
612816,2026-01,Coal,Ministry of Coal,929,70.05,1520.0,0,7.540365984930032,0
612819,2026-01,Electricity Generation,Ministry of Coal,1813,1752.16,-491.0,1,96.64423607280752,0
612827,2026-01,Railways,Ministry of Railways,184,12.94,454.0,0,7.032608695652173,0
612834,2026-01,Railways,Ministry of Railways,252,105.68,-34.0,1,41.93650793650794,0
612851,2026-01,Education,Department of Higher Education,333,304.15,-123.0,1,91.33633633633633,0
612853,2026-01,Oil & Gas,Ministry of Petroleum & Natural Gas,522,262.9,161.0,0,50.3639846743295,0
612855,2026-01,Transmission & Distribution,Ministry of Power,679,239.34,119.0,0,35.24889543446245,0
612856,2026-01,Transmission & Distribution,Ministry of Power,164,134.08,-127.0,1,81.75609756097562,0
612876,2026-01,Education,Department of Higher Education,474,167.55,1430.0,0,35.348101265822784,0
612877,2026-01,Education,Department of Higher Education,618,530.88,-396.0,1,85.90291262135922,0
612883,2026-01,Education,Department of Higher Education,686,171.56,742.0,0,25.00874635568513,0
612885,2026-01,Education,Department of Higher Education,495,362.48,-1402.0,1,73.22828282828283,0
612894,2026-01,Education,Department of Higher Education,252,223.36,-439.0,1,88.63492063492065,0
612898,2026-01,Education,Department of Higher Education,593,550.61,212.0,0,92.85160202360878,0
612916,2026-01,Education,Department of Higher Education,491,319.74,-306.0,1,65.12016293279022,0
613002,2026-01,Railways,Ministry of Railways,842,340.0,59.0,0,40.38004750593824,0
613008,2026-01,Education,Department of Higher Education,305,62.16,511.0,0,20.380327868852458,0
613013,2026-01,Education,Department of Higher Education,276,261.7,-31.0,1,94.81884057971014,0
613015,2026-01,Railways,Ministry of Railways,1813,692.66,424.0,0,38.20518477661335,0
613785,2026-01,Railways,Ministry of Railways,4744,169.58,1065.0,0,3.5746205733558183,0
613786,2026-01,Railways,Ministry of Railways,2379,820.62,790.0,0,34.494325346784365,0
613787,2026-01,Water Resources,"Department of Water Resources, River Development & GR",2584,991.09,1244.0,0,38.35487616099071,0
613793,2026-01,Coal,Ministry of Coal,484,63.66,59.0,0,13.152892561983471,0
613794,2026-01,Coal,Ministry of Coal,389,132.48,790.0,0,34.056555269922875,0
613798,2026-01,Coal,Ministry of Coal,336,90.07,59.0,0,26.806547619047617,0
613799,2026-01,Coal,Ministry of Coal,316,188.72,59.0,0,59.72151898734177,0
613800,2026-01,Coal,Ministry of Coal,459,274.35,-306.0,1,59.77124183006537,1
613801,2026-01,Coal,Ministry of Coal,410,183.99,59.0,0,44.87560975609756,0
613802,2026-01,Coal,Ministry of Coal,371,144.61,59.0,0,38.97843665768194,0
613803,2026-01,Coal,Ministry of Coal,367,34.12,1155.0,0,9.29700272479564,0
613804,2026-01,Coal,Ministry of Coal,314,6.09,424.0,0,1.9394904458598725,0
613808,2026-01,Coal,Ministry of Coal,340,191.0,-4294.0,1,56.1764705882353,0
615183,2026-01,Coal,Ministry of Coal,492,266.47,-306.0,1,54.16056910569106,0
615184,2026-01,Coal,Ministry of Coal,229,146.08,790.0,0,63.79039301310044,0
615185,2026-01,Coal,Ministry of Coal,399,98.57,424.0,0,24.70426065162907,0
615186,2026-01,Coal,Ministry of Coal,319,98.25,59.0,0,30.799373040752354,0
615187,2026-01,Coal,Ministry of Coal,221,,1155.0,0,,0
615188,2026-01,Coal,Ministry of Coal,402,63.1,424.0,0,15.696517412935323,0
615189,2026-01,Coal,Ministry of Coal,362,85.75,59.0,0,23.6878453038674,0
615190,2026-01,Coal,Ministry of Coal,336,39.08,1155.0,0,11.630952380952381,0
615191,2026-01,Coal,Ministry of Coal,329,61.34,1155.0,0,18.64437689969605,0
615192,2026-01,Coal,Ministry of Coal,310,48.32,59.0,0,15.587096774193549,0
615193,2026-01,Coal,Ministry of Coal,479,275.1,-2498.0,1,57.432150313152405,0
615194,2026-01,Coal,Ministry of Coal,207,27.19,1885.0,0,13.135265700483092,0
615195,2026-01,Coal,Ministry of Coal,166,5.13,790.0,0,3.0903614457831323,0
615199,2026-01,Coal,Ministry of Coal,199,18.17,424.0,0,9.13065326633166,0
615202,2026-01,Metals & Mining,Ministry of Steel,1700,170.13,1065.0,0,10.00764705882353,0
615206,2026-01,Coal,Ministry of Coal,414,18.05,59.0,0,4.359903381642512,0
615327,2026-01,Electricity Generation,Ministry of Coal,218,166.55,-306.0,1,76.39908256880734,0
615330,2026-01,Coal,Ministry of Coal,361,0.02,1155.0,0,0.0055401662049861505,0
615331,2026-01,Coal,Ministry of Coal,497,0.08,1520.0,0,0.01609657947686117,0
615332,2026-01,Transmission & Distribution,Ministry of Power,3279,1393.24,203.0,0,42.489783470570295,1
615333,2026-01,Transmission & Distribution,Ministry of Power,2227,913.07,202.0,0,41.0,1
615334,2026-01,Transmission & Distribution,Ministry of Power,3251,1560.48,199.0,0,48.0,1
615335,2026-01,Transmission & Distribution,Ministry of Power,1382,332.92,210.0,0,24.089725036179452,1
615337,2026-01,Transmission & Distribution,Ministry of Power,369,136.6,27.0,0,37.018970189701896,1
615338,2026-01,Transmission & Distribution,Ministry of Power,2735,803.26,279.0,0,29.36965265082267,0
615339,2026-01,Transmission & Distribution,Ministry of Power,5969,1049.35,284.0,0,17.579996649355,1
615340,2026-01,Transmission & Distribution,Ministry of Power,5357,878.54,284.0,0,16.399850662684337,1
615342,2026-01,Transmission & Distribution,Ministry of Power,329,14.8,164.0,0,4.498480243161095,1
615343,2026-01,Transmission & Distribution,Ministry of Power,501,8.11,279.0,0,1.6187624750499001,0
615344,2026-01,Transmission & Distribution,Ministry of Power,3674,1253.56,256.0,0,34.119760479041915,1
615345,2026-01,Transmission & Distribution,Ministry of Power,4766,1121.91,256.0,0,23.539865715484684,1
615346,2026-01,Transmission & Distribution,Ministry of Power,2708,1137.36,199.0,0,42.0,1
615347,2026-01,Transmission & Distribution,Ministry of Power,24819,1985.98,1203.0,0,8.001853418751763,0
615349,2026-01,Coal,Ministry of Coal,230,22.02,790.0,0,9.57391304347826,0
615818,2026-01,Coal,Ministry of Coal,298,47.06,-306.0,1,15.791946308724834,0
615820,2026-01,Coal,Ministry of Coal,160,81.47,1980.0,0,50.91875,0
615821,2026-01,Coal,Ministry of Coal,289,105.61,1761.0,0,36.543252595155714,0
615822,2026-01,Coal,Ministry of Coal,223,140.58,790.0,0,63.040358744394624,0
615843,2026-01,Coal,Ministry of Coal,244,49.54,-306.0,1,20.30327868852459,0
615857,2026-01,Coal,Ministry of Coal,494,491.33,59.0,0,99.45951417004049,0
615858,2026-01,Coal,Ministry of Coal,384,285.2,59.0,0,74.27083333333333,0
615860,2026-01,Coal,Ministry of Coal,607,197.28,-306.0,1,32.500823723229,0
615861,2026-01,Coal,Ministry of Coal,425,405.17,-306.0,1,95.33411764705882,0
615862,2026-01,Coal,Ministry of Coal,346,99.09,59.0,0,28.638728323699425,0
615863,2026-01,Coal,Ministry of Coal,484,477.14,59.0,0,98.58264462809917,0
615865,2026-01,Coal,Ministry of Coal,442,231.61,-306.0,1,52.40045248868779,0
615914,2026-01,Coal,Ministry of Coal,185,14.88,1155.0,0,8.043243243243243,0
615916,2026-01,Coal,Ministry of Coal,1225,81.05,1520.0,0,6.616326530612245,0
615917,2026-01,Coal,Ministry of Coal,973,1.04,1520.0,0,0.10688591983556012,0
615918,2026-01,Coal,Ministry of Coal,405,15.55,790.0,0,3.839506172839506,0
615919,2026-01,Coal,Ministry of Coal,1025,175.75,1155.0,0,17.146341463414636,0
615982,2026-01,Coal,Ministry of Coal,320,188.33,-1402.0,1,58.853125000000006,0
616044,2026-01,Coal,Ministry of Coal,237,165.99,-1767.0,1,70.03797468354432,0
616050,2026-01,Coal,Ministry of Coal,236,132.1,-671.0,1,55.974576271186436,0
616223,2026-01,Coal,Ministry of Coal,316,208.69,-671.0,1,66.04113924050633,0
616225,2026-01,Coal,Ministry of Coal,979,,4077.0,0,,0
616226,2026-01,Coal,Ministry of Coal,3564,608.8,2616.0,0,17.081930415263745,0
616227,2026-01,Railways,Ministry of Railways,1932,1.74,1338.0,0,0.09006211180124223,0
616229,2026-01,Coal,Ministry of Coal,669,1.17,1155.0,0,0.1748878923766816,0
616230,2026-01,Coal,Ministry of Coal,1194,10.9,4077.0,0,0.9128978224455612,0
